id,company_name,address,email,phone,location_point
1, M/s. Tritech Systems,"941, 66th St, K K Nagar, MGR Nagar, K. K. Nagar, 
Chennai, Tamil Nadu 600078",triabdullah@yahoo.com,044-42617179,"13.04414430954325,80.19420269795638"
2,M/s. Aer World Wide,"90, Grand Northern Trunk Rd, Ponniammanmedu, Chennai, Tamil Nadu 600110
Taluk,Tiruvallur",aer123@gmail.com,9765432145,"13.146048395131917,80.21720800390752"
3,M/s. Green E Waste,"Plot No.33, Geeson Colony Galaxy Road Kil Ayanambakkam Village, Ambattur, Chennai, Tamil Nadu 600095
Ayanambakkam Village, Ambattur, Chennai, 
Tamil Nadu 600095",green@yahoo.com,7200185121,"13.077666460235266,80.15327793334957"
4,M/s. Abishek enterprises,"7, Raja Gopalan St, AGS Colony, 
Ramakrishnapuram, Ambattur, Chennai, Tamil Nadu 600053",enterprisesabishek@gmail.com,"044-
23637878","13.045462707471104,80.2236547344353"
5,M/s. JADG India E-Waste Recyclers Pvt. Ltd,"175, G.N.T Road, Kavaraipettai, Gummidipoondi, 601206",jadgewast@gmail.com,044-27925234,"13.410078831735044,80.12665785304904"
6,M/s. Shri Raam Recycling,"DP 29, SIDCO Industrial Estate,SIPCOT Complex, Gummidipoondi, 601201
PhaseIV & V,SIDCO Industrial Estate, Gummidipoondi 
Taluk, Tiruvallur District -601 201",info@shriraamrecycling.com,9884499191,"13.387824019139677,80.06513459722628"
7,M/s. Virogreen India Pvt. Ltd,"S.No.297/1B-2 No.49, S.R.Kandigai Road, Pappankuppam Village,, Gummidipoondi, Tamil Nadu 601201",muthu@virogreen.in,9940831313,"13.4384701512108,80.08972800862993"
8,M/s. Trishyiraya Recycling India Pvt. Ltd,"28/21, Vadapalani, Chennai, Tamil Nadu 600026",naveen.prakash@simsmm.com,9840897125,"13.051982168948243,80.21512932235977"
9,M/s. K.S. Traders,"263, Oyalli Amman Koil Street, Tiruneermalai, Chennai, Tamil Nadu 600044",traders123@ks.com,4432011418,"12.961634242771375,80.1149314469649"
10,M/s. SEZ Recycling,"Plot No : 7,4th Avenue,IT-SEZ Area, Mahindra World City, Thirutheri R.F., Tamil Nadu 603002",akshay@sezrecycling.com,9790822555,"12.729115090661251,80.00710328002636"
11,"M/s. Leela Traders,","4/34 , Narasingapuram, 3rd St, Maduvinkarai, Guindy, Chennai, Tamil Nadu 600032",leela32@trad.com,9380888811,"12.997357466262661, 80.20585829516904"
12,M/s. Enviro Metals Recyclers Pvt.Ltd,"S.No. 104 & 106 Ezhichur Village, Oragadam, Sriperumbudur Taluk, Kancheepuram Dist., Tamil Nadu 603204",enviro@@yahoo.com,9865987789,"12.807812558775398, 79.91161382235636"
13,M/s. Gems Recycling (P) Ltd.,"No.147/A, Neervallur Village, Opp. L&T Construction Skills Training Institute, Near Sriperumbudur, Kanchipuram, Tamil Nadu 631561",gems@yahoo.com,9345855556,"12.87231502753758, 79.79536564696492"
14,"M/s. INAA Enterprises,","AC 31/24, THIRUMUDIVAKKAM,, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu",inaa@gmail.com,9444446229,"12.977080329028215, 80.0862879800297"
15,"M/s. World Scrap Stars Recycling Solutions Pvt.Ltd., ","No.1, Flat B, 1st Floor, 44th St, Ashok Nagar, Chennai, Tamil Nadu 600083",world@yahoo.com,9876543201,"13.038090793672799, 80.2122899530438"
16,"M/s. Victory Recovery & Recycle Technologies India Private 
Limited, ","Double Dragon Industrial Park, Kottaiyur, Kannur Village & PO, Thiruvallur Dist, Chennai, Tamil Nadu 602108",vic@yahoo.com,9887561230,"12.975058391343623, 79.85363248187839"
17,"M/s. Southern Alloys, ","149 GNT Road, Post, Ponniammanmedu, Chennai, Tamil Nadu 600110",south20@gmail.com,8988756342,"13.135667552227066, 80.23436715474382"
18,"M/s. Green India Recyclers, ","S.F.NO. 26/1B, Kovilpalayam Road, Sulakkal Village, Kinathukadavu Taluk, Coimbatore, Tamil Nadu 642110",green@yahoo.com,9003491034,"10.747283880408757, 76.99972171253536"
19,M/s. Green Era Recyclers,"No 37, Sivanandha Industrial Complex, Dr. MS Udayamurthy Nagar, Thadagam Main Rd, Edayarpalayam, Coimbatore, Tamil Nadu 641025",era@gmail.com,8300223526,"11.059727679041263, 76.91880006598284"
20,M/s. S.P.P. Enterprises,"No.160/6A, National Highway, Taluk, Mambakkam, Sriperumbudur, Tamil Nadu 602106",spp@gmail.com,4429590944,"12.937104339872175, 79.90324884824483"
21,M/s. A.K Enterprises,"9157, LIG Park Rd, TNHB Colony, TNHB, Ayappakkam, Chennai, Tamil Nadu 600077",ak@yahoo.com,9443567892,"13.17589397264712, 80.13926155761439"
22,"M/s. TES-AMM (India) Pvt. Ltd.,","SIPCOT Industrial Growth Centre, A-18, Tlk, Oragadam, Panruti, Sriperumbudur, Tamil Nadu 631604",tes@mail.com,4445000353,"12.9173534145944, 79.95522478110017"
